Tweet,Label
"@bellathorne143 i herd that you got bullied when you was 6 years old and i feel bad,are you ok",1
"Bullying: O gesto mais idiota, estúpido e irracional que um ser humano pode praticar.",0
"The Bully at School Goes High Tech – Part 1: 
The Section of State and Local Government Law of the Am... http://t.co/DGWXoKd #slaw #law",0
AUISHUAHS eu e o @wallace_mancha tiramos o dia pra praticar bullying com a @helove_,0
"@Looweihao @haoyangg @sleepybed Hello, since when i got bully people? Never physically you know! :( Criminal is not supposed to be me..",0
For those keeping score at home- cousin who just had massive heart-attack is trying to bully the doctors into letting her out one day early.,1
"BETTER ANTI-BULLYING AD SLOGANS: Hey, Bullies. Since it HAS to be you our us, we'll send flowers",0
@luttylutz bahh lo kaga demen dia juga? Gue kira pada demen si jiejie SQ itu -_- ayo trus kita bully (?) Bahahahaha,0
cara3: bully iam gara2 uda di ucpin tpi gk bls,0
http://t.co/nbBZDxf Please help to stop workplace bullying,0
"@lucy_robbo yes on thur, she said she might, we'll bully in revs. I dunno I have no friends hahaha",0
@bbuk @brianofficial bobby needs threw out that is disgusting #sweatgate #bully,0
don't you get it? This is me getting rid of you. Hahaha #BULLY,1
Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/qlZdxUJ,0
@BillyBlancO_ @DjLBully nigga used to be a real herbalist bully idk wham ah deal with,0
"theres going to be bullys and ignorant people out there thats goi to spread lies about u or bully u,well DONT let it get u down",0
"Que dó que dó que dó do Ceará. Tadinhoooooo só pq é time pequeno, isso é Bullying Heleno. Hhaha",0
"@_MacaAlejandra @xsiempreJcyFer @camiiHidalgo_ Oigan , me Siento discriminada :'c me hacen Bulling aaaag* Las Denunciare xd",0
"pois agora é crime! Sacanear Palmeirense é Bullying,",0
"If I'm not happy with my classes this week, I'm gonna take the role as a bully and be an asshole. Watch out lower-classmen. It will be ugly.",0
"Suposta vítima de bullying, estudante pula do primeiro andar de colégio particular em Natal http://t.co/q9bRVJ3 via @UOLNoticias",0
"Tusuk tikam jejak! Bwahaha ""@Christ_Yosh10: @selviore duh jngan d tanya pan.. Mengundang kreatifitas dy untuk mem'bully itu mah.. &gt;&lt;""",0
"In high school, it's bullying. But in a professional setting, it's harassment.",0
"vira pro chefe e diz que o colega tá fazendo bullying com você. ouve a resposta: 'ótimo, vou dar um aumento pra ele!'",0
News from PrayerThatHeals.org - A spiritual defense against bullying http://t.co/wkmbwMA #constantcontact,0
Damm I think I'm slick bully this dude always offering shit to avoid me for roasting his ass LoL,1
@chelseabieber95 duuuuude. cyber bully much? I just read some of the tweets. how did it even start,1
#gymflow as my sister just showed off her push to start kia! Def gonna have to get something new soon! Or just bully hers,0
@samGarvaux  Mostly I agree with @Shoq.  Having strong opinions does not make one a bully. Just passionate.,0
【自動post】BULLY（いじめ）とSUICIDE（自殺）で、BULLYCIDE（いじめ自殺）。もっとも、自殺するのは憎い相手を殺した後。死なばもろとも…ってところかしら,0
"WED at 8pm on #LETITBEKNOWNLIVERADIO our Discussion ""Violence among the YOUTH PT 2..... Bullying, Gang Violenc… (cont) http://deck.ly/~ZN88q",0
Stop Bullying Ppl Old America,0
ignorar a pessoa no msn é bullying,0
Three bully vans just went past Candace's Lewisham riots are starting again lordddddd,0
"@rizky_yulianisa @bobyandika I can only wish the way you guys express isn't by bullying, but I really can't be picky right now. *hugs*",1
